,sid,actions,action_times,game_time,n_actions,game_time_to_first_action,game_type,env_type,distr_type,centering_type,game_idx,gave_up,is_tutorial
0,foho4tmdle,"[1, 1, 1, 1, 2, 2, 2, 2, 2, -1]","[15.9, 16.326, 16.599, 17.182, 18.702, 18.947, 19.199, 19.445, 19.696, 23.421]",23.421,10,15.9,Tutorial1,Tutorial1,0,tutorial,tutorial0,0,True
1,qzb39nnuo6,"[2, 2, 2, 2, 2, 1, 1, 1, 1, -1]","[36.076, 36.108, 36.31, 36.706, 36.976, 38.459, 39.561, 39.778, 39.968, 43.625]",43.625,10,36.076,Tutorial1,Tutorial1,0,tutorial,tutorial0,0,True
2,foho4tmdle,"[4, 4, 4, 4, 4, 3, 3, 3, 3, -1]","[9.223, 9.763, 10.009, 10.271, 11.576, 12.605, 12.88, 13.095, 13.325, 15.109]",15.109,10,9.223,Tutorial2,Tutorial2,0,tutorial,tutorial1,0,True
3,qzb39nnuo6,"[4, 4, 4, 4, 4, 3, 3, 3, 3, -1]","[8.897, 9.247, 9.587, 9.879, 10.228, 10.611, 11.182, 11.477, 11.758, 14.837]",14.837,10,8.897,Tutorial2,Tutorial2,0,tutorial,tutorial1,0,True
4,e8cc3nw3fu,"[2, 2, 2, 2, 2, 1, 1, 1, 1, -1]","[31.366, 31.652, 32.291, 32.532, 32.807, 33.885, 34.092, 34.297, 34.503, 37.348]",37.348,10,31.366,Tutorial1,Tutorial1,0,tutorial,tutorial0,0,True
5,e8cc3nw3fu,"[4, 4, 4, 3, 3, 3, 3, 4, 4, -1]","[8.121, 8.344, 8.552, 8.97, 9.205, 9.407, 9.623, 9.764, 9.993, 12.909]",12.909,10,8.121,Tutorial2,Tutorial2,0,tutorial,tutorial1,0,True
6,qzb39nnuo6,"[4, 4, 3, 3, 3, 2, 2, 2, 3, 4, 1, 4, 4, 4, 4, 4, 3, 2, 1, 1, -1]","[26.427, 26.681, 28.335, 28.885, 29.145, 29.571, 29.863, 30.066, 30.529, 31.193, 32.329, 32.766, 33.014, 33.218, 33.398, 33.61, 33.995, 34.422, 34.995, 35.322, 39.874]",39.874,21,26.427,Tutorial3,Tutorial3,0,tutorial,tutorial2,0,True
7,foho4tmdle,"[2, 4, 4, 4, 4, 4, 3, 3, 3, 3, 2, 1, 2, 3, 2, 3, 4, 1, 1, 2, 2, 3, 2, 3, 4, 4, 4, 1, 1, 1, 1, 3, 4, 4, -1]","[21.946, 23.6, 24.014, 24.515, 26.845, 27.901, 29.132, 29.485, 30.049, 30.659, 33.116, 34.113, 35.169, 36.179, 37.147, 38.319, 38.856, 40.495, 41.049, 41.851, 42.126, 42.926, 43.559, 44.096, 45.579, 46.015, 46.383, 50.114, 50.539, 50.873, 51.321, 52.709, 53.109, 53.505, 57.951]",57.951,35,21.946,Tutorial3,Tutorial3,0,tutorial,tutorial2,0,True
8,e8cc3nw3fu,"[1, 3, 3, 3, 3, 3, 2, 3, 4, 1, 1, 4, 4, 3, 3, 1, 4, 4, 3, 4, 3, 2, 1, 1, 1, -1]","[27.184, 27.902, 28.165, 30.036, 30.297, 30.536, 31.611, 32.778, 34.43, 35.765, 35.929, 36.442, 36.662, 37.129, 37.39, 38.767, 39.421, 39.918, 40.357, 40.903, 41.276, 41.674, 44.227, 44.452, 44.856, 48.37]",48.37,26,27.184,Tutorial3,Tutorial3,0,tutorial,tutorial2,0,True
9,foho4tmdle,"[1, 1, 1, 1, 4, 4, 4, 1, 3, 3, 4, 4, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, -1]","[11.118, 11.541, 11.913, 12.212, 14.6, 14.945, 15.194, 15.767, 17.829, 18.93, 19.446, 19.774, 20.76, 21.692, 22.519, 23.053, 23.694, 25.401, 25.712, 26.346, 26.744, 27.192, 28.432, 33.022]",33.022,24,11.118,Tutorial4,Tutorial4,0,tutorial,tutorial3,0,True
10,e8cc3nw3fu,"[4, 4, 4, 3, 4, 4, 2, 1, 1, 4, 3, 3, 3, 1, 1, 4, 4, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, -1]","[13.535, 13.716, 13.92, 14.612, 15.153, 15.347, 16.991, 18.377, 18.63, 19.29, 19.73, 19.956, 20.143, 21.598, 22.201, 22.625, 22.839, 23.306, 24.307, 24.581, 25.209, 25.562, 25.753, 25.946, 26.146, 26.344, 26.733, 27.101, 30.005]",30.005,29,13.535,Tutorial4,Tutorial4,0,tutorial,tutorial3,0,True
11,foho4tmdle,"[3, 4, 4, 1, 4, 3, 4, 4, 1, 4, 3, 4, 3, 2, 1, 1, 2, 2, 2, 2, -1]","[9.944, 11.22, 12.632, 13.826, 14.497, 15.549, 16.405, 16.743, 17.932, 18.506, 19.809, 20.555, 21.109, 21.578, 22.887, 23.383, 24.398, 25.874, 26.264, 26.69, 28.36]",28.36,21,9.944,Tutorial5,Tutorial5,0,tutorial,tutorial4,0,True
12,e8cc3nw3fu,"[4, 4, 4, 4, 4, 4, 4, 2, 3, 4, 3, 2, 2, 1, 1, 2, 2, 2, 2, 3, 2, 3, 4, 4, 2, 1, 1, 4, -1]","[12.182, 12.469, 13.039, 13.266, 13.442, 13.618, 13.795, 14.627, 15.064, 15.586, 15.983, 16.42, 16.703, 18.448, 18.688, 18.943, 19.199, 19.395, 19.578, 20.224, 20.682, 21.123, 21.501, 21.746, 22.726, 24.322, 24.813, 25.278, 29.83]",29.83,29,12.182,Tutorial5,Tutorial5,0,tutorial,tutorial4,0,True
13,e8cc3nw3fu,"[3, 4, 4, 4, 4, 1, 1, 1, 4, 3, 2, 2, 2, 2, 2, 2, 2, -1]","[14.942, 15.515, 16.289, 16.621, 16.826, 17.516, 17.791, 17.982, 18.453, 18.814, 19.6, 19.854, 20.062, 20.228, 20.384, 20.575, 20.762, 23.42]",23.42,18,14.942,Tutorial6,Tutorial6,0,tutorial,tutorial5,0,True
14,b8ve3wax34,"[3, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, -1]","[13.734, 14.357, 14.536, 14.83, 15.041, 15.208, 15.47, 15.642, 15.806, 15.993, 16.186, 20.157]",20.157,12,13.734,Tutorial1,Tutorial1,0,tutorial,tutorial0,0,True
15,b8ve3wax34,"[1, 1, 3, 3, 4, 4, 3, 4, 3, 4, 3, 4, -1]","[0.776, 0.905, 1.478, 1.66, 2.102, 2.29, 2.562, 3.529, 3.72, 4.012, 4.231, 4.399, 7.448]",7.448,13,0.776,Tutorial2,Tutorial2,0,tutorial,tutorial1,0,True
16,foho4tmdle,"[4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 3, 2, 4, 4, 4, 3, 1, 2, 2, 2, 2, 2, 3, 3, 1, 4, 4, 4, 4, 4, 1, 1, 1, 4, 3, 2, 2, 2, 2, 2, 2, 2, -1]","[13.428, 13.747, 13.991, 14.275, 15.028, 17.013, 17.529, 18.172, 19.384, 25.186, 25.664, 26.447, 29.958, 30.613, 31.078, 36.126, 37.43, 40.524, 41.267, 41.557, 42.296, 42.812, 43.59, 46.022, 47.178, 47.945, 49.932, 50.277, 50.937, 51.698, 52.463, 52.897, 53.472, 54.128, 55.227, 56.531, 56.841, 57.672, 58.205, 60.135, 60.605, 62.383, 71.691]",71.691,43,13.428,Tutorial6,Tutorial6,0,tutorial,tutorial5,0,True
17,qzb39nnuo6,"[1, 1, 4, 4, 4, 4, 4, 4, 4, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, -1]","[137.519, 137.725, 138.309, 139.176, 139.423, 139.648, 139.817, 139.984, 140.175, 140.671, 141.312, 141.595, 142.134, 144.284, 145.543, 146.5, 146.714, 146.882, 147.085, 147.276, 151.908]",151.908,21,137.519,Tutorial4,Tutorial4,0,tutorial,tutorial3,0,True
18,e8cc3nw3fu,"[1, 4, 4, 3, 3, -1, 3, 4, 4, 3, 3, 3, 3, 1, 1, 1, 1, 2, 4, -1, 1, 4, 4, 3, 3, 2, 4, 3, 3, 3, 3, -1]","[13.169, 13.724, 14.182, 14.991, 15.835, 18.44, 20.356, 20.984, 21.322, 21.961, 22.203, 22.708, 23.106, 24.206, 24.57, 24.953, 25.537, 25.96, 26.44, 27.758, 29.886, 30.997, 31.198, 32.321, 32.477, 35.151, 37.055, 37.64, 37.893, 38.098, 38.291, 41.426]",41.426,32,13.169,Tutorial7,Tutorial7,0,tutorial,tutorial6,0,True
