action,search_n_nodes,search_depth,n_calls,n_call_dict,n_sol,env_name,seed
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D0,0
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D0,0
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D0,0
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D0,0
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D0,0
2,1,1,1.0,"{0: 0, 1: 1}",1,Env1D0,0
2,1,1,1.0,"{0: 0, 1: 1}",1,Env1D0,0
2,1,1,1.0,"{0: 0, 1: 1}",1,Env1D0,0
2,1,1,1.0,"{0: 0, 1: 1}",1,Env1D0,0
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D1,0
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D1,0
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D1,0
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D1,0
3,1,1,1.0,"{0: 0, 1: 1}",1,Env1D1,0
2,1,1,1.0,"{0: 0, 1: 1}",1,Env1D1,0
2,1,1,1.0,"{0: 0, 1: 1}",1,Env1D1,0
2,1,1,1.0,"{0: 0, 1: 1}",1,Env1D1,0
2,1,1,1.0,"{0: 0, 1: 1}",1,Env1D1,0
1,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
1,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
1,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
3,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
2,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
2,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
2,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
2,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
2,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
3,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
2,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
4,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
4,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
1,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
4,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
2,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
4,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
4,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
2,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
2,161,2,166.0,"{0: 0, 1: 153, 2: 13}",1,Env2D0,0
1,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
1,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
1,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
3,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
2,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
2,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
2,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
2,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
3,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
2,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
4,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
4,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
1,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
4,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
2,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
2,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
4,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
4,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
2,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
2,272,2,277.0,"{0: 0, 1: 239, 2: 38}",1,Env2D1,0
3,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
3,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
3,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
1,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
3,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
3,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
2,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
3,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
1,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
4,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
4,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
4,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
4,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
4,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
2,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
2,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
3,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
3,6600,3,6892.0,"{0: 0, 1: 202, 2: 6187, 3: 503}",1,Env3D0,0
