action,search_n_nodes,search_depth,n_calls,n_err,env_name,seed
2,0,0,1,0,Env1D0,0
2,0,0,1,0,Env1D1,0
2,38,1,16,0,Env2D0,0
2,67,1,32,0,Env2D1,0
2,27,1,19,0,Env3D0,0
2,15,1,24,0,Env3D1,0
2,2,1,9,0,Env4D0,0
2,6,1,11,0,Env4D1,0
2,25,1,12,0,Env5D0,0
2,9,1,13,0,Env5D1,0
2,8,1,14,0,Env6D0,0
2,2,1,10,0,Env6D1,0
1,38,1,16,0,Env7D0,0
1,42,1,32,0,Env7D1,0
1,64,1,19,0,Env8D0,0
1,138,1,30,0,Env8D1,0
2,84,2,50,0,Env9D0,0
2,160,2,85,0,Env9D1,0
2,104,2,31,0,Env10D0,0
2,165,2,35,0,Env10D1,0
2,66,2,50,0,Env11D0,0
1,74,2,57,0,Env11D1,0
2,78,2,21,0,Env12D0,0
2,177,2,70,0,Env12D1,0
3,81,2,42,0,Env13D0,0
1,121,2,35,0,Env13D1,0
2,147,2,33,0,Env14D0,0
2,344,2,83,0,Env14D1,0
3,54,2,25,0,Env15D0,0
3,125,2,49,0,Env15D1,0
2,0,0,1,0,Env1D0,1
2,0,0,1,0,Env1D1,1
2,18,1,13,0,Env2D0,1
2,32,1,29,0,Env2D1,1
2,50,1,27,0,Env3D0,1
2,77,1,35,0,Env3D1,1
2,3,1,10,0,Env4D0,1
2,1,1,8,0,Env4D1,1
2,29,1,12,0,Env5D0,1
2,24,1,17,0,Env5D1,1
2,5,1,13,0,Env6D0,1
2,5,1,13,0,Env6D1,1
1,18,1,13,0,Env7D0,1
1,62,1,39,0,Env7D1,1
1,68,1,20,0,Env8D0,1
1,102,1,31,0,Env8D1,1
2,85,2,53,0,Env9D0,1
2,159,2,82,0,Env9D1,1
2,144,2,31,0,Env10D0,1
2,266,2,35,0,Env10D1,1
2,84,2,62,0,Env11D0,1
1,93,2,92,0,Env11D1,1
2,86,2,25,0,Env12D0,1
2,153,2,46,0,Env12D1,1
3,81,2,40,0,Env13D0,1
1,125,2,46,0,Env13D1,1
